timestamp,phycotank_id,pH,temperature_C,flow_rate_lph,energy_consumption_kWh,lux,mag_field_T
2025-07-28 00:00:00,PT01,7.64,23.8,199.3,1.4,17697,0.00019412
2025-07-28 01:00:00,PT01,7.07,28.0,176.0,0.8,59124,0.00010803
2025-07-28 02:00:00,PT01,8.21,23.2,125.1,0.87,21824,7.292e-05
2025-07-28 03:00:00,PT01,7.44,26.7,296.2,0.42,60804,1.997e-05
2025-07-28 04:00:00,PT01,6.73,20.0,58.7,1.07,54619,0.00010548
2025-07-28 05:00:00,PT01,8.44,31.4,155.8,1.05,16186,0.00010091
2025-07-28 06:00:00,PT01,6.69,24.2,291.9,1.17,24986,7.518e-05
2025-07-28 07:00:00,PT01,8.04,21.6,295.7,1.5,15714,0.00011903
2025-07-28 08:00:00,PT01,8.42,29.2,201.0,0.31,50316,4.047e-05
2025-07-28 09:00:00,PT01,7.06,18.4,119.1,1.21,41066,8.15e-05
2025-07-28 10:00:00,PT01,6.67,25.6,253.7,1.17,54053,5.074e-05
2025-07-28 11:00:00,PT01,6.79,18.6,166.3,1.12,59380,5.038e-05
2025-07-28 12:00:00,PT01,7.56,28.6,163.2,0.49,46601,0.00014026
2025-07-28 13:00:00,PT01,7.09,30.5,286.1,1.08,30768,6.078e-05
2025-07-28 14:00:00,PT01,8.35,26.4,268.4,0.74,42760,0.00012891
2025-07-28 15:00:00,PT01,7.27,31.9,69.7,1.23,18715,0.00019437
2025-07-28 16:00:00,PT01,7.41,27.1,297.1,0.74,29435,0.0001317
2025-07-28 17:00:00,PT01,6.53,19.6,82.3,1.48,22687,4.085e-05
2025-07-28 18:00:00,PT01,8.46,29.0,94.9,1.08,48625,0.00012896
2025-07-28 19:00:00,PT01,7.61,28.6,227.1,0.75,51525,6.252e-05
2025-07-28 20:00:00,PT01,8.15,30.7,295.9,0.36,61051,0.00012475
2025-07-28 21:00:00,PT01,7.38,24.6,116.5,1.43,22553,2.129e-05
